C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A043,R462,00-03-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4037213,1739151
A043,R462,00-03-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3409865,1735589
A043,R462,00-03-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,5194923,3602835
A043,R462,00-03-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4037213,1739151
A043,R462,00-06-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,6825565,6863701
A046,R463,00-06-08,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,1521431,9889092
A046,R463,00-00-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,8491107,491933
A046,R463,00-00-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,9062207,495342
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4001458,386970
A046,R463,00-06-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,50929851,4815033
A046,R463,00-05-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,817,0
A046,R463,00-05-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,0,1123
A046,R463,00-06-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,11219311,2209458
A046,R463,00-06-06,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,102414810,21860454
A046,R463,00-03-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,9002144,7274520
A046,R463,00-06-07,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4623105,12870019
A046,R463,00-00-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,9062207,495342
A046,R463,00-03-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,12411878,13460080
A046,R463,00-05-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,0,498
A046,R463,00-03-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,12411878,13460080
A046,R463,00-03-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,9002144,7274520
A046,R463,00-00-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,5445172,464738
A046,R463,00-06-04,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4072096,8466002
A046,R463,00-05-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3731,0
A046,R463,00-00-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,8491107,491933
A046,R463,00-05-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,0,1123
A046,R463,00-06-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,12279290,2165976
A046,R463,00-06-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,1949482708,588118777
A046,R463,00-06-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,1949482708,588118777
A046,R463,00-06-05,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,540477,130534
A046,R463,00-06-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,12279290,2165976
A046,R463,00-06-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,50929851,4815033
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4001458,386970
A046,R463,00-06-05,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,540477,130534
A046,R463,00-05-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,0,498
A046,R463,00-05-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3731,0
A046,R463,00-06-07,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4623105,12870019
A046,R463,00-06-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,11219311,2209458
A046,R463,00-00-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,5445172,464738
A046,R463,00-06-08,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,1521431,9889092
A046,R463,00-05-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,817,0
A046,R463,00-06-04,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4072096,8466002
A046,R463,00-06-06,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,102414810,21860454
A049,R088,02-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,773947,591536
A049,R088,02-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,868902,214730
A049,R088,02-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,872225573,871564864
